aalib 1.4rc5-11
accountsservice 0.6.40-1
acl 2.2.52-2
adwaita-icon-theme 3.18.0-1
alsa-lib 1.1.0-1
alsa-plugins 1.1.0-1
alsa-utils 1.1.0-1
apache 2.4.17-3
apr 1.5.2-1
apr-util 1.5.4-1
arandr 0.1.8-1
archlinux-keyring 20150605-1
aspell 0.60.6.1-3
at-spi2-atk 2.18.1-1
at-spi2-core 2.18.3-1
atk 2.18.0-1
atkmm 2.24.1-1
attr 2.4.47-1
autoconf 2.69-2
automake 1.15-1
avahi 0.6.32rc-1
baobab 3.18.1-1
bash 4.3.042-3
binutils 2.25.1-3
bison 3.0.4-1
bluez 5.36-1
bridge-utils 1.5-2
bzip2 1.0.6-5
ca-certificates 20150402-1
ca-certificates-cacert 20140824-2
ca-certificates-mozilla 3.20.1-1
ca-certificates-utils 20150402-1
cairo 1.14.4-1
cairomm 1.12.0-1
cantarell-fonts 0.0.18.1-1
caribou 0.4.19-1
cdparanoia 10.2-5
celt 0.11.3-2
cheese 3.18.1-1
chromaprint 1.2-1
cifs-utils 6.4-1
clutter 1.24.2-1
clutter-gst 3.0.14-1
clutter-gst2 2.0.16-1
clutter-gtk 1.6.6-1
cogl 1.22.0-1
colord 1.2.12-1
colord-gtk 0.1.26-2
compositeproto 0.4.2-3
confuse 2.7-3
coreutils 8.24-1
cracklib 2.9.4-1
cryptsetup 1.7.0-1
cups-pk-helper 0.2.5-1
curl 7.45.0-1
damageproto 1.2.1-3
db 5.3.28-2
dbus 1.10.2-1
dbus-glib 0.104-1
dconf 0.24.0-1
dconf-editor 3.18.2-1
desktop-file-utils 0.22-1
device-mapper 2.02.133-1
dhclient 4.3.3-2
dhcpcd 6.9.3-1
dialog 1:1.2_20150920-1
diffutils 3.3-2
ding-libs 0.5.0-1
djvulibre 3.5.27-1
dmenu 4.6-1
dnssec-anchors 20150403-1
docker 1:1.9.1-1
docker-compose 1.5.1-1
dotconf 1.3-4
drive 0.3.3-1
dropbox 3.10.11-1
e2fsprogs 1.42.13-1
elfutils 0.164-1
emacs 24.5-2
empathy 3.12.11-1
enca 1.16-1
enchant 1.6.0-5
eog 3.18.1-1
epiphany 3.18.1-1
evince 3.18.2-1
evolution-data-server 3.18.2-1
exempi 2.2.2-1
exiv2 0.25-2
expac 4-3
expat 2.1.0-4
faac 1.28-5
faad2 2.7-4
fakeroot 1.20.2-1
farstream 0.2.7-1
ffmpeg 1:2.8.2-1
fftw 3.3.4-1
file 5.25-1
filesystem 2015.09-1
findutils 4.4.2-6
firefox 42.0-2
fixesproto 5.0-3
flac 1.3.1-1
flex 2.5.39-1
fluidsynth 1.1.6-4
folks 0.11.1-2
fontconfig 2.11.1-2
fontsproto 2.1.3-1
freetype2 2.6.1-1
